,| 男性的 |,| 女性的 |,不分男女的 :,最常用於男性 = 男女,最常用於女性 = 女男,,,,,,
女,Krista,,,德語，英語，芬蘭語，愛沙尼亞語，拉脫維亞,Kristina 的簡短形式。,,,,,,
女,Kristal,,,英語,Crystal 的變體。,,,,,,
女,Kristeen,"Chris, Chrissie, Chrissy, Christi, Christie, Christy, Kiki, Kris, Kristi, Kristie, Kristy",,英語（罕見）,Christine 的變體。,,,,,,
女,Kristen (2), ,,英語,Kristin 的變體。,,,,,,
女,Kristi,,,英語，愛沙尼亞,Christina 或 Christine（英語）或 Kristiina（愛沙尼亞人）的暱稱。,,,,,,
女,Kristia,,,英語（罕見）,Christina 的暱稱。,,,,,,
女,Kristie,,,英語,Christina 或 Christine 的暱稱。,,,,,,
女,Kristin,,,挪威語，瑞典語，德國，愛沙尼亞語，英語,Cristina 的斯堪的納維亞形式。,,,,,,
女,Kristina,"Christel、Christin、Ina、Kersti、Kerstin、Kia、Kjerstin、Kristin、Stina、Tina(瑞典文) Christel、Christin、Ina、Ine、Kine、Kirsten、Kjersti、Kjerstin、Kristin、Stina、Stine、Tina、Tine(挪威文) Christa、Christel、Ina、Kirsten、Stina、Stine、Tina、Tine(丹麥文) Krista、 Kristel, Kristi, Tiina (愛沙尼亞語) Chris, Christa, Christel, Ina, Kiki, Krista, Tina (德語) Ina, Inja, Tina, Tinkara (斯洛文尼亞語) Tina (克羅地亞語) Chris, Chrissie, Chrissy, Christa, Christ, Christi, Christie, Christy, Ina, Kiki, Kris, Krista, Kristi, Kristie, Kristy, Tina, Kristia (英語)",,瑞典語，挪威語，丹麥語，愛沙尼亞人，俄羅斯，德國人，斯洛文尼亞，捷克，立陶宛語，塞爾維亞，克羅地亞人，阿爾巴尼亞人，法羅斯，英語，保加利亞語,Christina 的形式幾種語言。它也是 Christina 的英國變種，也是赫里斯蒂娜（Hristina）的保加利亞變種。,,,,,,
女,Kristine,"Christel, Christin, Ina, Ine, Kine, Kirsten, Kjersti, Kjerstin, Kristin, Stina, Stine, Tina, Tine(挪威文) Christa, Christel, Ina, Kirsten, Stina, Stine, Tina, Tine(丹麥文) Christel, Christin、 Ina、Kersti、Kerstin、Kia、Kjerstin、Kristin、Stina、Tina (瑞典語) Chris、Chrissie、Chrissy、Christi、Christie、Christy、Kiki、Kris、Kristi、Kristie、Kristy (英語) Chris、Christel、Kiki (德語)",,挪威語、丹麥語、瑞典語、喬治亞語、英語、德語,Christina 的斯堪的納維亞語和格魯吉亞語形式，以及 Christine 的英語和德語變體。,,,,,,
男,Kristopher,"Chip, Chris, Christie, Christy, Kit, Kris, Topher, Kester",,英語,Christopher 的變體。,,,,,,
女,Krystal,,,英語,,,,,,,
女,Krystelle,,,英語（罕見）,Crystal 的變體。,,,,,,
女,Krysten,,,英語（現代）,Kristin 的變體。,,,,,,
女,Krystina,"Chris, Chrissie, Chrissy, Christa, Christi, Christie, Christy, Ina, Kiki, Kris, Krista, Kristi, Kristie, Kristy, Tina, Kristia",,英語（現代）,Christina 的變體。,,,,,,
女,Krystine,"Chris, Chrissie, Chrissy, Christi, Christie, Christy, Kiki, Kris, Kristi, Kristie, Kristy",,英語（罕見）,Christine 的變體。,,,,,,
女,Krystle,,,英語（現代）,Crystal 的變體。這種拼法因美國肥皂劇《豪門恩怨》（1981-1989）中的角色 Krystle Carrington 而廣為人知。,,,,,,
女,Kristy,,,英語,Christina 或 Christine 的暱稱。,,,,,,
男,Kurt,,,德語、英語、瑞典語、丹麥語、挪威語,Conrad 的德語縮寫形式。美國音樂家 Kurt Cobain (1967-1994) 是其著名繼承者。,,,,,,
男,Kurtis,Kurt,,英語,Curtis 的變體。,,,,,,
女,Kyla,,,英語,Kyle 的陰性形式，或常用語音元素 ky 和 ​​la 的組合。,,,,,,
男,Kylan,,,英語（現代）,根據 Kyle 和 Rylan 等其他名字的發音而發明的名字。,,,,,,
男,Kyle,,,英語,源自蘇格蘭姓氏，姓氏源自各種地名，而地名本身又源自蓋爾語 caol，意為「狹窄、水道、海峽」。在 20 世紀上半葉，作為名字使用並不多見。但在英語世界，它的受歡迎程度穩步上升，到 20 世紀 90 年代在大多數地區都進入了前 50 名。此後，它在各個地區的受歡迎程度均有所下降。,,,,,,
女,Kylee,,,英語,Kylie 的變體。,,,,,,
女,Kyleigh,,,英語（現代）,Kylie 的變體。,,,,,,
男,Kyler,,,英語（現代）,可能是 Kyle 和 Tyler 發音的混合。它也與姓氏 Kyler 相符，後者是荷蘭語 Cuyler 的英語化形式。,,,,,,
女,Kylie,,,英語,這個名字起源於澳大利亞，在澳大利亞土著語言 Nyungar 中，其意為“迴旋鏢”。早期使用這個名字的人是作家 Kylie Tennant (1912-1988)。它是 20 世紀 70 年代和 80 年代初澳大利亞最受歡迎的名字之一。它也可以被認為是 Kyle 的女性化形式，或者是流行音 ky 和 ​​lee 的組合，很可能正是由於這些原因，它在 20 世紀 70 年代末開始在美國使用。澳洲流行歌手 Kylie Minogue (1968-) 也是這個名字的著名使用者。,,,,,,
女,Kym,,,英語（罕見）,Kim 1 的變體。,,,,,,
男,Kynaston,,,英語（罕見）,源自於一個英語姓氏，該姓氏最初源自於一個地名，在古英語中意為「Cynefrið 的城鎮」。,,,,,,
女,Kyra,,,英語,Kira 2 的變體，有時被認為是 Cyrus 的女性形式。,,,,,,
女,Kyrie (2),,,英語（現代）,源自基督教禱詞的名稱，也稱為 Kyrie eleison，意為「主啊，憐憫我」。它最終源自於希臘文 κύριος (kyrios)，意為「主」。,,,,,,
女男,Kyro,,,英語（現代）,Cairo 的變體。,,,,,,
女,Kyrsten,,,英語（罕見）,Kirsten 的變體。,,,,,,
男,Kyson,,,英語（現代）,一個自創的名字，與 Bryson 和 Tyson 等名字的發音相同。,,,,,,
L,,,,,,,,,,,
女男,Lacey,,,英語,Lacy 的變體。這是該名字目前最受歡迎的拼法。,,,,,,
男,Lachlan,,,蘇格蘭語，英語,Lachlann 的英語化形式，Lachlann 是 Lochlainn 的蘇格蘭蓋爾語形式。在英語世界中，這個名字在 20 世紀末的澳洲尤其受歡迎。,,,,,,
女,Laci (2),,,英語（現代）,Lacy 的變體。在媒體報導了 2003 年 Laci Peterson (1975-2002) 謀殺案後，這個名字迅速流行起來。,,,,,,
女,Lacie,,,英語（現代）,Lacy 的變體。,,,,,,
女男,Lacy,,,英語,源自一個姓氏，該姓氏源自諾曼第一個小鎮的名字 Lassy。小鎮的名字起源於高盧語，可能源自於一個拉丁化為 Lascius 的人名。這個名字以前在美國男孩中更為常見，但從1975年開始在女孩中也越來越流行。,,,,,,
女,Laila (1),,,阿拉伯語、烏爾都語、英語,Layla 的變體。,,,,,,
女,Lainey,,,英語（現代）,Laney 的變體。,,,,,,
男,Laird,,,英語（罕見）,源自蘇格蘭姓氏，在蘇格蘭語中意為「地主」。,,,,,,
男女,Lake,,,英語（罕見）,源自英語單字 lake，意為內陸水域。它最終源自於拉丁語 lacus。,,,,,,
女,Lakelynn,,,英語（現代）,使用流行名稱後綴 lyn 對 Lake 進行修飾。,,,,,,
女,Lalia,,,英語（罕見）,Eulalia 的縮寫。,,,,,,
女,Lallie,,,英語（罕見）,Lalage 的縮寫。,,,,,,
女,Lally,,,英語（罕見）,Lalage 的縮寫。,,,,,,
男,Lamar,,,英語，非裔美國人,源自法語和英語姓氏，最初源自諾曼第的一個地名，源自古法語 la mare，意為「水池」。在20世紀下半葉，這個名字在非裔美國人群體中廣泛使用，可能是因為其常用的語音成分 la 和 mar。,,,,,,
男,Lambert,,,德國語、荷蘭語、法語、英語、日耳曼語,源自古德語元素 lant（土地）和 beraht（光明）。聖蘭伯特 （馬斯特里赫特）是一位7世紀的主教，他因譴責丕平二世通姦而殉道。 9世紀加冕為神聖羅馬帝國皇帝的一位義大利國王也使用了這個名字。,,,,,,
男,Lamont,,,英語，非裔美國人,源自蘇格蘭姓氏，姓氏源自中世紀蓋爾語名字 Lagmann，而 Lagmann  本身源自古挪威語 lǫgmaðr，意為「執法者」。這個名字在1972年在美國 達到了人氣的頂峰，同年情景喜劇《桑福德父子》（Sanford and Son） 首播，主角是拉蒙特·桑福德（名義上的兒子）。,,,,,,
女,Lana,,,英語、俄語、克羅埃西亞語、斯洛維尼亞語、喬治亞語,Alana（英語）或 Svetlana（俄語）的縮寫。在英語世界，這個名字 因女演員拉娜·特納（Lana Turner，1921-1995）而廣為人知，她本名為 朱莉婭·讓·特納（Julia Jean Turner）。,,,,,,
男,Lance,,,英語,源自日耳曼語名 Lanzo，最初是一些以古法蘭克語或古撒克遜語元素 land 開頭的姓名縮寫，古高地德語 lant 意為“土地”（原始日耳曼語 *landą）。在中世紀，它與古法語 lance 聯繫在一起，意為「長矛、長矛」。美國自行車運動員蘭斯·阿姆斯特朗（1971-）是一個著名的使用這個名字的人。,,,,,,
男,Landen,Lanny,,英語（現代）,Landon 的變體。,,,,,,
男,Landon,Lanny,,英語,源自一個姓氏，該姓氏源自古英語地名，意為“長山”（實際上是“山脊”）。該名字的使用可能部分受到演員邁克爾蘭登（1936-1991）的啟發。,,,,,,
男,Lane,,,英語,源自於一個英語姓氏，意為“小巷、小路”，最初屬於居住在小巷附近的人。,,,,,,
女,Laney,,,英語,Elaine 的暱稱。,,,,,,
男,Lanford,,,英語（罕見）,源自姓氏，該姓氏源自古英語中意為“長灘”的地名。,,,,,,
男,Langdon,,,英語（罕見）,源自一個姓氏，該姓氏是 Landon 的變體。,,,,,,
男,Langston,,,英語,源自於一個英語姓氏，姓氏本身源自於一個地名，源自古英語 lang（長） 和 stan（石頭）。一位著名的使用這個名字的人是美國作家 (Langston Hughes) 蘭斯頓· 休斯（1901-1967）。,,,,,,
男,Lanny,,,英語,Lance、Landon 和其他以 Lan 開頭的名字的縮寫。,,,,,,
女,Lara (1),,,俄語、英語、德語、法語、義大利語、西班牙語、葡萄牙語、荷蘭語、匈牙利語、斯洛維尼亞語、克羅埃西亞語,Larisa 的俄語縮寫形式。它是由鮑里斯·帕斯捷爾納克的小說 《日瓦戈醫生》（1957 年）及其後續電影改編版（1965 年）中的一個 角色引入 英語世界的。 1965 年至 1969 年間，它在美國成長了近 2000%，但目前在英國、澳洲、西班牙、葡萄牙、義大利和德國更受歡迎。另一位著名的虛構使用這個名字的人是勞拉·克勞馥，她於 1996 年首次出現在電子遊戲中，並於 2001 年出現在電影中。,,,,,,
女,Laraine,"Lori, Lorie, Lorinda, Lorri, Lorrie, Laurinda",,英語,Lorraine 的變體。,,,,,,
女,Larissa,Lara (英語) Lara (德語),,英語、德語、巴西葡萄牙語、拉丁化希臘神話,Larisa 的變體。自 20 世紀以來，它一直被廣泛用作英語名字， 源自於俄語。 1991 年，為了紀念這位神話人物，它被賦予了海王星的 一顆衛星。,,,,,,
女,Lark,,,英語（罕見）,源自英語中表示鳴禽種類的單字。,,,,,,
男,Larrie,,,英語,Laurence 1 的暱稱。,,,,,,
男,Larry,,,英語,Laurence 1 的暱稱。一個著名的使用者是前籃球運動員拉里·伯德（1956 年）,,,,,,
女,Laryn,,,英語（罕見）,Lauren 的變體。,,,,,,
女,Laura,"Laurie, Lori, Lorie, Lorinda, Lorri, Lorrie, Lauressa, Laurinda (英語) Laurita (西班牙語) Lauretta, Loretta (義大利語) Laurette, Laurie (法語)",,英語、西班牙語、義大利語、葡萄牙語、羅馬尼亞語、加泰隆尼亞語、法語、芬蘭語、愛沙尼亞語、匈牙利語、波蘭語、斯洛維尼亞語、克羅埃西亞語、捷克語、斯洛伐克語、瑞典語、挪威語、丹麥語、德語、荷蘭語、立陶宛語、拉脫維亞語、晚期羅馬語,晚期拉丁語名 Laurus 的女性形式，意為「月桂樹」。這個意思很 受歡迎，因為在古羅馬，月桂樹的葉子被用來製作勝利者的花環。這個名字源自於9世紀的西班牙殉道者聖勞拉，她是一位被摩爾人丟進熔鉛桶的修女。 14世紀義大利詩人彼特拉克的詩歌主題也以此命名。 Laura 作為 一個英語名，自13世紀以來就一直被使用。著名的勞拉·塞科德（Laura Secord，1775-1868），1812年戰爭期間的加拿大女英雄，以及創作了 《草原小屋》系列小說的美國作家勞拉·英格爾斯·懷爾德（Laura Ingalls Wilder，1867-1957）。,,,,,,
女,Lauraine,"Lori, Lorie, Lorinda, Lorri, Lorrie, Laurinda",,英語（罕見）,Lorraine 的變體，受 Laura 拼字影響。,,,,,,
女,Laureen,"Laurie, Lori, Lorie, Lorinda, Lorri, Lorrie, Lauressa",,英語,Laura 的進一步發展。,,,,,,
女,Laurel,,,英語,源自月桂樹的名稱，最終源自於拉丁語 laurus。,,,,,,
女,Laurelle,,,英語（罕見）,Laurel 的變體。,,,,,,
女男,Lauren,"Larrie, Larry, Laurie, Laz, Loren, Lori, Lorie, Lorin, Lorinda, Lorri, Lorrie, Laurinda, Lorrin",,英語,Laurence 1 的變異或陰性形式。它最初是一個男性名字，最初由女演員 貝蒂·簡·珀斯克（Betty Jean Perske，1924-2014）推廣為女性名字， 她使用勞倫·白考爾（Lauren Bacall）作為她的藝名。,,,,,,
女,Laurena,"Lori, Lorie, Lorri, Lorrie",,英語（罕見）,Lauren 的進一步發展。,,,,,,
男,Laurence (1),"Larrie, Larry, Laurie, Laz, Loren, Lorin, Lorrin (英語) Lawrie (英語（英國）)",,英語,源自羅馬別名 Laurentius，意為「來自勞倫圖姆」。勞倫圖姆是古義大利的城市，其名稱可能源自拉丁語 laurus（月桂樹）。聖勞倫斯是一位公元三世紀的羅馬執事和殉道者。根據傳統，他被活活地烤死在烤架上，因為當被命令交出教堂的財物時，他卻將病人和窮人獻給了教堂。由於這位聖徒的聲望，這個名字在基督教世界中被廣泛使用（有多種拼寫）。在中世紀，這個名字在英格蘭很常見，部分原因是另一位同名的聖人——一位七世紀的坎特伯雷大主教。同樣，由於十二世紀的聖勞倫斯·奧圖爾（其真名為 Lorcán），這個名字在愛爾蘭也很常見。自十九世紀以來，Lawrence 的拼寫更為常見，尤其是在美國。英國演員勞倫斯奧利維爾（1907-1989）是這個名字的著名使用者。,,,,,,
女,Laurencia,,,英語（罕見）,Laurence 1 的女性形式。,,,,,,
女,Laurene,"Laurie, Lori, Lorie, Lorinda, Lorri, Lorrie, Lauressa",,英語,Laura 的變體。,,,,,,
女,Lauressa,,,英語（罕見）,Laura 的暱稱。,,,,,,
女男,Laurie,,,英語、法語,Laura 或 Laurence 1 的暱稱。,,,,,,
女,Laurinda,,,英語（罕見）,Lorinda 的變體。,,,,,,
女,Laurissa,,,英語（罕見）,Laura 的變體。,,,,,,
女,Lauryn,,,英語（現代）,Lauren 的變體。,,,,,,
女,Lavena,,,英語（罕見）,Lavinia 的變體。,,,,,,
女,Lavender,,,英語（現代）,源自英語單字，意為芳香的花朵或淡紫色。,,,,,,
女,Lavern,,,英語,Laverne 的變體。,,,,,,
女男,Laverne,,,英語,源自法國姓氏，姓氏源自地名，最終源自高盧語單字 vern（意為「榿木」）。它有時與羅馬女神拉維娜 (Laverna) 或拉丁語 vernus（意為“春天”）聯繫在一起。,,,,,,
女,Lavina,,,英語,Lavinia 的變體。,,,,,,
女,Lavone,,,英語（罕見）,Lavonne 的變體。,,,,,,
女,Lavonne,,,英語,由常用字首 la 與名字 Yvonne 組合而成。,,,,,,
男,Lawrence,"Larrie, Larry, Laurie, Laz, Loren, Lorin, Lorrin (英語) Lawrie ((英語)（英國）)",,英語,Laurence 1 的變體。在英語世界中，該名字的這種拼寫現在比 Laurence 更常見，可能是因為 Lawrence 是該姓氏的常用拼寫。此姓氏由作家兼詩人 D. H. Lawrence (1885-1930) 以及革命家 T. E. Lawrence (1888-1935)（被稱為「阿拉伯的勞倫斯」）所擁有。,,,,,,
男,Lawrie,,,英語（英國）,Lawrence 的暱稱。,,,,,,
男,Lawson,,,英語,源自於一個英語姓氏，意為「勞倫斯一世之子」。,,,,,,
女,Layla,,,阿拉伯語，英語,在阿拉伯語中意為「夜晚」。 Layla 是詩人卡伊斯（又名瑪吉努）在一個古老阿拉伯故事中的愛人，該故事由12世紀的波斯詩人尼扎米·甘賈維在其詩歌《萊拉與瑪吉努》中重新演繹。這個故事在中世紀的阿拉伯和波斯地區廣為流傳。 1970年，德瑞克與多米諾樂團發行了歌曲《萊拉》（Layla），這個名字由此開始在英語世界中使用，這首歌的標題靈感來自這個中世紀故事。,,,,,,
男女,Layne,,,英語,Lane 的變體。,,,,,,
男,Layton,,,英語,姓氏原源自於英語城鎮的名稱，在古英語中意為「有韭菜園的城鎮」。與發音相似的名字（例如 Peyton 和 Dayton）一樣，這個名字在20世紀90年代開始流行起來。,,,,,,
男,Laz,,,英語,Larry 的暱稱。,,,,,,
男,Lazarus,,,聖經用語、聖經拉丁文、英語（非洲語）,Λάζαρος（Lazaros）的拉丁化形式，是新約聖經中以利亞撒 (Eleazar) 的希臘文形式。拉撒路 (Lazarus) 是伯大尼人，是瑪利亞和馬大的兄弟，被耶穌復活。目前，這個名字在英語非洲地區最常使用。,,,,,,
女,Leah,,,英語、希伯來文、聖經,源自希伯來文名 לֵאָה (Leʾa)，可能源自希伯來文 לָאָה (laʾa)，意為「疲倦、悲傷」。也可能與阿卡德文 littu 有關，意為「母牛」。在《舊約》中，利亞是雅各的第一任妻子，也是他七個孩子的母親。雅各的另一任妻子是利亞的妹妹拉結，雅各更喜歡她。後來，利亞將自己的侍女悉帕許配給雅各，好讓他能懷更多孩子。雖然這個名字在中世紀被猶太人使用，但直到宗教改革後，它才成為典型的英國基督教名字，在清教徒中很常見。,,,,,,
女,Leann,,,英語,Lee 和 Ann 的組合。,,,,,,
女,Leanna,,,英語,這很可能最初是 Liana 的變體。現在通常被認為是 Lee 和 Anna 的組合。,,,,,,
女,Leanne,,,英語,Lee 和 Anne 1 的組合。,,,,,,
女,Leanora,Nonie,,英語（罕見）,Eleanora 的縮寫。,,,,,,
女,Leatrice,,,英語,可能是 Leah 和 Beatrice 的組合。這個名字最初由美國女演員 Leatrice Joy (1893-1985) 引入公眾視野。,,,,,,
女,Lecia,,,英語（罕見）,Alicia、Felicia 或 Letitia 的縮寫。,,,,,,
男女,Lee,,,英語,源自古英語 leah（意為「清理」）的姓氏。該姓氏屬於美國內戰期間 南方邦聯軍隊指揮官羅伯特·E·李 (1807-1870)。為了紀念他，該姓氏在 美國南部被用作名字。它常用作中間名。,,,,,,
女,Leeann,,,英語,Lee 和 Ann 的組合。,,,,,,
女,Leesa,,,英語,Lisa 的變體。,,,,,,
男,Lefty,,,英語,源自暱稱，通常指慣用左手的人。,,,,,,
女男,Legacy,,,英語（現代）,源自英語單字，意為「從前任繼承下來的東西，遺產」。它源自於古法文 legacie，而後者源自於拉丁文 legatum（意為遺贈，遺產）。,,,,,,
男,Legend,,,英語（現代）,源自英語單字，指過去的故事（或引申為故事中的英雄人物），最終源自於拉丁語 lego（意為閱讀）。,,,,,,
女男,Leigh,,,英語,源自姓氏，是 Lee 的變體。,,,,,,
女男,Leighton,,,英語,Layton 的變體。 2007 年，女演員莉頓梅斯特 (1986-) 開始出演電視劇《花邊教主》後，該名字作為女性名字的受歡迎程度飆升。,,,,,,
女,Leila,,,波斯語、阿拉伯語、庫德語、英語、法語、喬治亞語,Layla 的變體，以及通常的波斯語音標。拜倫勳爵曾用此拼字法來稱呼 《異教徒》（1813年）和《唐璜》（1819年）中的人物，而這個名字正是透過他才傳入英語世界的。,,,,,,
女,Leilah,,,英語（罕見）,Leila 的變體。,,,,,,
女男,Leilani,,,夏威夷語、英語,意為“天上的花朵”或“皇家之子”，源自夏威夷語 lei（花、花環、孩子）和 lani（天堂、天空、皇家、威嚴）。,,,,,,
男女,Leith,,,英語（罕見）,源自一個姓氏，最初源自於蘇格蘭一個城鎮（現為愛丁堡的一個區）的名稱，該城鎮的名稱源自於蓋爾語 lìte（潮濕的、潮濕的）。它也是流經愛丁堡的一條河流的名字。,,,,,,
女,Lela (2),,,英語,Leila 的變體。,,,,,,
男,Leland,,,英語,源自一個姓氏，原源自於一個英語地名，在古英語中意為「休耕地」。該姓氏的著名成員是政治家、商人和史丹佛大學的創始人利蘭·斯坦福（1824-1893）。,,,,,,
男,Lemoine,,,英語（罕見）,源自法國姓氏，在法文中意為「僧侶」。,,,,,,
男,Len,,,英語,Leonard 的縮寫。,,,,,,
女,Lena,,,瑞典語、挪威語、丹麥語、德語、荷蘭語、波蘭語、芬蘭語、俄語、烏克蘭語、英語、義大利語、葡萄牙語、希臘語、格魯吉亞語、亞美尼亞語,以 lena 結尾的姓名的縮寫，例如 Helena、Magdalena 或 Yelena。通常單獨使用。,,,,,,
男,Lenard,,,英語,Leonard 的變體。,,,,,,
男女,Lennie,,,英語,Leonard 的暱稱，有時也用於女性。,,,,,,
男女,Lennon,,,英語（現代）,源自愛爾蘭姓氏，源自愛爾蘭別名 Leannán，意為「愛人」。該姓氏由音樂家兼披頭四成員約翰·藍儂（1940-1980）所用，有時也可用作名字以紀念他。在美國，它現在更常用作女性名字，可能部分受歌手列儂·斯特拉（1999-）的啟發，她於2012年開始出演電視劇《音樂之鄉》。,,,,,,
男女,Lennox,,,英語（現代）,源自蘇格蘭姓氏，源自蘇格蘭一個地區的名稱。該地區在蓋爾語中稱為 Leamhnachd，可能意為「榆樹之地」。這個名字在21世紀初逐漸流行起來，同時，發音相似（但不相關）的名字 Lennon 和 Knox 也開始流行起來。,,,,,,
男,Lenny,,,英語,Leonard 的暱稱。,,,,,,
女,Lenora,Nonie,,英語,Elenora 的縮寫。,,,,,,
女,Lenore,"Nellie, Nelly",,英語,Eleanor 的縮寫。這是愛倫坡的詩《烏鴉》（1845 年）中敘述者已故愛人的名字。,,,,,,
男,Lenox,,,英語（罕見）,源自姓氏 Lennox 的變體。,,,,,,
男,Leo,,,德語、荷蘭語、瑞典語、挪威語、丹麥語、芬蘭語、愛沙尼亞語、英語、克羅埃西亞語、亞美尼亞語、晚期羅馬語,源自拉丁文 leo，意為“獅子”，與 Leon 同源。它在早期基督教中很流行，曾有14位教宗使用過這個名字，其中包括在5世紀確立羅馬主教（教宗）統治地位的聖利奧大帝。六位拜占庭皇帝和五位亞美尼亞國王也使用過這個名字。另一位著名的使用者是俄國小說家列夫·托爾斯泰（1828-1910），俄語拼寫為 Лев，他的作品包括《戰爭與和平》和《安娜·卡列尼娜》。 Leo 也是一個星座，也是黃道十二宮的第五宮。在某些情況下，這個名字可以是以 Leo 開頭的長名字的縮寫，例如 Leonard。,,,,,,
女,Leola,,,英語,Leo 的陰性形式。,,,,,,
男,Leon,,,英語、德語、荷蘭語、波蘭語、斯洛維尼亞語、克羅埃西亞語、希臘語、古希臘語,源自希臘文λέων (leon)，意為「獅子」。在基督教時代，這個希臘名字與拉丁文同源詞Leo合併，因此這兩種形式在歐洲語言中可以互換使用。在中世紀的英格蘭，這個名字在猶太人中很常見。共產主義革命家列昂·托洛茨基（1879-1940）的俄語名字中也使用了這個名字，他的名字是Лев。,,,,,,
女,Leona,,,英語、捷克語,Leon的陰性形式。,,,,,,
男,Leonard,"Len, Lennie, Lenny (英語) Lenn (荷蘭語)",,英語、荷蘭語、德語、波蘭語、羅馬尼亞語、日耳曼語,意為“勇敢的獅子”，源自古德語元素lewo（源自拉丁語）和hart（堅硬、堅定、勇敢、耐寒）。這是公元6世紀一位來自諾布拉克的法蘭克聖徒的名字，他是囚犯和馬匹的守護神。諾曼人將這個名字帶到了英格蘭，並在中世紀一直使用，並在20世紀變得更加普遍。,,,,,,
女,Leone (2),,,英語,Leona 的變體。,,,,,,
女,Leontyne,,,英語（罕見）,Léontine 的變體。歌劇演唱家 Leontyne Price (1927-) 曾經使用此名。,,,,,,
男,Leopold,,,德語、荷蘭語、英語、捷克語、斯洛伐克語、斯洛維尼亞語、波蘭語,源自古德語元素 liut「人民」和 bald「大膽、勇敢」。拼字因與拉丁語 leo“獅子”相關而有所改變。這個名字在德國皇室中很常見，首先是巴本堡家族，然後是哈布斯堡家族。聖利奧波德是12世紀奧地利的巴本堡藩侯，如今被認為是奧地利的守護神。兩位哈布斯堡神聖羅馬帝國皇帝以及三位比利時國王也曾使用過這個名字。自19世紀以來，這個名字在英國偶爾使用，最初是為了紀念維多利亞女王的叔叔，一位比利時國王，維多利亞女王用他的名字為自己的其中一個兒子命名。後來，詹姆斯喬伊斯在他的小說《尤利西斯》（1922年）中用它來命名主角利奧波德布魯姆。,,,,,,
男,Leroi,,,英語（罕見）,Leroy 的變體。,,,,,,
男,Leroy,,,英語,源自法文暱稱 le roi，意為「國王」。自19世紀以來，它一直是常見 的英語名字。在美國，自1920年以來，它主要由非裔美國人使用。,,,,,,
男,Les,,,英語,Leslie 或 Lester 的縮寫。,,,,,,
女,Lesia,,,英語,Alesia 的縮寫。,,,,,,
女,Lesleigh,,,英語（罕見）,Leslie 的變體。,,,,,,
女男,Lesley,,,英語,Leslie 的變體。,,,,,,
女男,Leslie,,,英語,源自蘇格蘭姓氏，源自於阿伯丁郡的一個地方，可能源自蓋爾語 leas celyn，意為「冬青花園」。自19世紀以來，它一直被用作名字。在美國，20世紀40年代後，它更常被用作女性名字。,,,,,,
女,Lesly,,,英語（現代）,Leslie 的變體。,,,,,,
女,Lessie,,,英語,包含 les 音的姓名的縮寫，例如 Leslie。,,,,,,
男,Lester,Les,,英語,源自英語姓氏，源自萊斯特市的名稱，原指來自該地的人。該市的名稱源自於河流名稱 Ligore 與拉丁語 castra（意為「營地」）的組合。,,,,,,
女,Leta,,,英語,可能源自拉丁文 laetus，意為「高興」。也可能是以 leta 結尾的姓名的縮寫形式。,,,,,,
女,Letha,,,英語,可能是 Aletha 的縮寫。,,,,,,
女,Letitia,"Lettie, Letty, Tisha, Titty, Lecia",,英語,源自晚期拉丁文名 Laetitia，意為「喜悅、幸福」。這是一位鮮為人 知的聖徒的名字，主要在西班牙受到尊崇。中世紀時期，該名稱在英格蘭使用，通常拼寫為 Lettice，並在 18 世紀復興。,,,,,,
女,Lettice,"Lettie, Letty, Tisha, Titty, Lecia",,英語（古語）,Letitia 的中世紀形式。,,,,,,
女,Lettie,,,英語,Lettice 的縮寫。,,,,,,
女,Letty,,,英語,Lettice 的縮寫。,,,,,,
男,Levi,,,希伯來文、英語、荷蘭文、德文、聖經、聖經拉丁文,在希伯來文中可能意為「結合、依附」。根據《舊約》，利未是雅各和利亞的第三個兒子，也是以色列十二個支派之一利未人的祖先。利未人構成了以色列人的祭司階層。摩西和亞倫兄弟是教會成員。這個名字也出現在《新約》中，由亞勒腓的一個兒子使用。他可能與使徒馬太是同一個人。利未（Levi）作為一個英國基督教名字，在新教改革後開始使用。,,,,,,
男,Lew (1),,,英語,Lewis 的縮寫。,,,,,,
男,Lewin,,,英語（罕見）,源自於一個英語姓氏，該姓氏源自名字 Leofwine。,,,,,,
男,Lewis,"Lew, Lou, Louie",,英語,Louis 的中世紀英語形式。 《愛麗絲夢遊仙境》的作者 Lewis Carroll (1832-1898) 是該姓氏的著名持有者。 《納尼亞傳奇》系列的作者 C. S. Lewis (1898-1963) 也使用了這個姓氏。,,,,,,
男,Lex,,,英語、荷蘭語,Alexander 的縮寫。,,,,,,
女,Lexa,,,英語,Alexandra 或 Alexa 的縮寫。,,,,,,
女,Lexi,,,英語,Alexandra 或 Alexis 的暱稱。,,,,,,
女,Lexia,,,英語,Alexia 的縮寫。,,,,,,
女,Lexie,,,英語,Alexandra 或 Alexis 的暱稱。,,,,,,
女,Lexine,Lexa,,英語,Alexandra 的暱稱。,,,,,,
女,Lexus,,,英語,Alexus 的縮寫。它的使用受到雷克薩斯品牌名稱（豐田生產的豪華 汽車系列）的影響。,,,,,,
女,Lexy,,,英語,Alexandra 或 Alexis 的暱稱。,,,,,,
女,Leyla,,,土耳其語、亞塞拜然語、庫德語、波斯語、阿拉伯語、英語（現代）,Leila 的變體，以及常見的土耳其語、亞塞拜然語和庫德語形式。,,,,,,
